2024-06-05 16:07:08 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:09 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:09 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:09 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:11 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:11 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:11 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:12 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:12 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:12 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:13 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:13 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:13 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:14 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:14 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:14 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:15 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:15 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:15 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:16 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:16 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:16 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
2024-06-05 16:07:17 [INFO] 加速度计X: 0.17, Y: -0.19, Z: 9.82
2024-06-05 16:07:17 [INFO] 陀螺仪X: 0.00, Y: -0.00, Z: 0.00
2024-06-05 16:07:17 [INFO] 磁力计X: 3.61, Y: 56.24, Z: 40.70
